Date,24 Karat,22 Karat,18 Karat,14 Karat,10 Karat
1-Jan, 576240, 528220, 432180, 336140, 240100
2-Jan, 580658, 532270, 435493, 338717, 241941
3-Jan, 575703, 527728, 431778, 335827, 239876
4-Jan, 575569, 527605, 431677, 335749, 239820
5-Jan, 575829, 527844, 431872, 335901, 239929
8-Jan, 570563, 523016, 427922, 332828, 237735
9-Jan, 570767, 523203, 428075, 332948, 237820
10-Jan, 569754, 522275, 427316, 332357, 237398
11-Jan, 571620, 523985, 428715, 333445, 238175
12-Jan, 574826, 526924, 431120, 335315, 239511
15-Jan, 575115, 527189, 431336, 335484, 239631
16-Jan, 568735, 521340, 426551, 331762, 236973
17-Jan, 562266, 515411, 421700, 327989, 234278
18-Jan, 561572, 514774, 421179, 327584, 233988
19-Jan, 568500, 521125, 426375, 331625, 236875
22-Jan, 565308, 518199, 423981, 329763, 235545
23-Jan, 567318, 520042, 425489, 330936, 236383
24-Jan, 564540, 517495, 423405, 329315, 235225
25-Jan, 566025, 518857, 424519, 330182, 235844
26-Jan, 564695, 517637, 423521, 329406, 235290
29-Jan, 563397, 516447, 422548, 328648, 234749
30-Jan, 569078, 521655, 426809, 331962, 237116
31-Jan, 570141, 522630, 427606, 332582, 237559
1-Feb, 574930, 527019, 431197, 335376, 239554
2-Feb, 570319, 522792, 427739, 332686, 237633
5-Feb, 562263, 515408, 421697, 327987, 234276
6-Feb, 569094, 521670, 426821, 331972, 237123
7-Feb, 568762, 521365, 426572, 331778, 236984
8-Feb, 568421, 521053, 426316, 331579, 236842
9-Feb, 565644, 518507, 424233, 329959, 235685
12-Feb, 564304, 517279, 423228, 329178, 235127
13-Feb, 556341, 509979, 417255, 324532, 231809
14-Feb, 556783, 510384, 417587, 324790, 231993
15-Feb, 559904, 513246, 419928, 326611, 233294
16-Feb, 562634, 515748, 421976, 328203, 234431
19-Feb, 558275, 511752, 418706, 325660, 232614
20-Feb, 566141, 518962, 424606, 330249, 235892
21-Feb, 566257, 519069, 424693, 330317, 235940
22-Feb, 566347, 519152, 424760, 330369, 235978
23-Feb, 569403, 521953, 427052, 332152, 237251
26-Feb, 567040, 519786, 425280, 330773, 236267
27-Feb, 567593, 520294, 425695, 331096, 236497
28-Feb, 566914, 519671, 425185, 330700, 236214
29-Feb, 567637, 520334, 425728, 331122, 236515
1-Mar, 582073, 533567, 436555, 339543, 242531
4-Mar, 590986, 541737, 443239, 344742, 246244
5-Mar, 594601, 545051, 445951, 346850, 247750
6-Mar, 600533, 550489, 450400, 350311, 250222
7-Mar, 601299, 551190, 450974, 350757, 250541
8-Mar, 608302, 557610, 456227, 354843, 253459
11-Mar, 609869, 559046, 457402, 355757, 254112
12-Mar, 602620, 552401, 451965, 351528, 251091
13-Mar, 606611, 556060, 454958, 353856, 252755
14-Mar, 603114, 552855, 452336, 351817, 251298
15-Mar, 601283, 551176, 450962, 350748, 250535
18-Mar, 602542, 552330, 451907, 351483, 251059
19-Mar, 601568, 551437, 451176, 350915, 250653
20-Mar, 614885, 563644, 461163, 358683, 256202
21-Mar, 607283, 556676, 455462, 354248, 253035
22-Mar, 602586, 552370, 451939, 351508, 251077
25-Mar, 604375, 554011, 453281, 352552, 251823
26-Mar, 605773, 555292, 454329, 353367, 252405
27-Mar, 609851, 559030, 457388, 355746, 254105
28-Mar, 619816, 568165, 464862, 361559, 258257
29-Mar, 619718, 568075, 464788, 361502, 258216
1-Apr, 626616, 574398, 469962, 365526, 261090
2-Apr, 635555, 582592, 476666, 370740, 264815
3-Apr, 639670, 586364, 479752, 373141, 266529
4-Apr, 636848, 583777, 477636, 371495, 265353
5-Apr, 646647, 592760, 484985, 377211, 269436
8-Apr, 649143, 595048, 486857, 378667, 270476
9-Apr, 653959, 599462, 490469, 381476, 272483
10-Apr, 649335, 595224, 487001, 378779, 270556
11-Apr, 660365, 605335, 495274, 385213, 275152
12-Apr, 651669, 597364, 488752, 380140, 271529
15-Apr, 663618, 608317, 497714, 387111, 276508
16-Apr, 664352, 608990, 498264, 387539, 276813
17-Apr, 657997, 603164, 493498, 383832, 274165
18-Apr, 662974, 607726, 497230, 386735, 276239
19-Apr, 666212, 610694, 499659, 388624, 277588
22-Apr, 648229, 594210, 486172, 378134, 270096
23-Apr, 646734, 592839, 485050, 377261, 269472
24-Apr, 645602, 591802, 484202, 376601, 269001
25-Apr, 649985, 595820, 487489, 379158, 270827
26-Apr, 650516, 596306, 487887, 379468, 271048
