Date,USD AM,USD PM,GBP AM,GBP PM,EUR AM,EUR PM
31-12-2024,2610.85,,2083.20,,2508.24,
30-12-2024,2610.30,2609.10,2073.88,2078.93,2501.45,2508.39
27-12-2024,2625.55,2615.95,2097.55,2081.25,2520.27,2509.48
24-12-2024,2613.75,,2086.30,,2514.95,
23-12-2024,2620.55,2613.80,2086.22,2086.60,2519.40,2515.78
20-12-2024,2606.15,2616.45,2082.05,2084.79,2509.20,2517.29
19-12-2024,2621.30,2592.45,2071.35,2060.74,2517.50,2493.68
18-12-2024,2648.35,2635.65,2086.63,2075.05,2524.67,2510.72
17-12-2024,2641.60,2636.35,2082.90,2078.23,2519.56,2510.60
16-12-2024,2660.95,2654.20,2103.75,2097.88,2534.29,2531.05
13-12-2024,2669.55,2659.05,2111.61,2105.17,2544.08,2535.67
12-12-2024,2713.60,2684.35,2127.19,2109.09,2582.26,2553.35
11-12-2024,2697.45,2705.45,2120.20,2120.26,2570.40,2576.13
10-12-2024,2670.45,2689.60,2093.37,2110.53,2535.86,2556.46
09-12-2024,2655.85,2671.90,2078.47,2091.56,2510.04,2526.82
06-12-2024,2636.50,2637.30,2067.02,2068.96,2492.55,2495.41
05-12-2024,2649.15,2640.15,2082.50,2069.35,2515.63,2496.26
04-12-2024,2642.05,2648.65,2084.05,2087.14,2516.29,2521.25
03-12-2024,2645.35,2640.65,2085.86,2087.70,2512.82,2513.37
02-12-2024,2637.25,2642.15,2075.78,2092.58,2508.82,2524.57
29-11-2024,2664.30,2651.05,2099.20,2089.03,2521.23,2512.40
28-11-2024,2646.40,2641.85,2090.92,2083.36,2510.64,2503.15
27-11-2024,2648.00,2640.85,2100.13,2088.91,2517.72,2504.32
26-11-2024,2630.30,2622.10,2091.09,2085.62,2502.47,2495.98
25-11-2024,2670.40,2635.40,2123.24,2095.93,2545.96,2509.95
22-11-2024,2706.25,2694.95,2163.38,2153.00,2598.00,2589.85
21-11-2024,2669.70,2665.30,2114.14,2109.05,2538.35,2529.90
