Date,USD AM,USD PM,GBP AM,GBP PM,EUR AM,EUR PM
01/02/2024,2074.9,2067.55,1632.53,1637.29,1885.46,1886.43
01/03/2024,2054.05,2042.1,1626.6,1615.3,1879.04,1869.95
01/04/2024,2049.05,2039.55,1610.35,1608.39,1869.14,1863.13
01/05/2024,2037.7,2056.35,1610.39,1613.41,1868.77,1872.1
01/08/2024,2028.0,2025.1,1596.85,1591.53,1854.0,1848.11
01/09/2024,2038.15,2034.9,1600.76,1599.84,1862.67,1859.08
01/10/2024,2036.25,2026.8,1600.29,1593.06,1859.5,1852.7
01/11/2024,2031.85,2029.15,1594.8,1595.11,1853.05,1852.82
01/12/2024,2039.55,2055.65,1599.42,1610.19,1861.09,1873.31
01/15/2024,2053.85,2049.9,1614.74,1612.04,1877.84,1873.2
01/16/2024,2039.75,2038.15,1614.67,1611.36,1873.71,1874.69
01/17/2024,2027.55,2011.75,1598.52,1590.29,1864.94,1853.02
01/18/2024,2012.2,2013.2,1586.22,1588.62,1847.4,1853.55
01/19/2024,2029.5,2028.55,1601.48,1600.12,1866.33,1864.24
01/22/2024,2023.9,2021.6,1593.01,1589.38,1858.34,1856.64
01/23/2024,2026.85,2022.95,1592.7,1594.69,1862.07,1863.54
01/24/2024,2030.5,2024.65,1592.12,1588.95,1863.39,1857.01
01/25/2024,2018.15,2023.75,1584.65,1590.67,1852.46,1863.67
01/26/2024,2021.1,2018.45,1587.57,1585.09,1861.03,1857.78
01/29/2024,2027.35,2022.5,1596.54,1595.55,1874.29,1871.82
01/30/2024,2036.8,2043.05,1606.22,1613.81,1880.78,1885.33
01/31/2024,2037.9,2053.25,1608.31,1610.77,1882.0,1886.73
02/01/2024,2037.55,2045.85,1611.29,1615.61,1886.98,1890.77
02/02/2024,2054.2,2034.15,1609.67,1606.98,1886.78,1883.01
02/05/2024,2024.5,2018.0,1608.06,1609.96,1882.99,1881.18
02/06/2024,2025.05,2030.8,1614.57,1615.7,1887.14,1891.49
02/07/2024,2033.2,2041.6,1609.28,1616.33,1888.03,1895.83
02/08/2024,2037.05,2028.65,1613.14,1608.92,1889.97,1884.41
02/09/2024,2031.65,2023.5,1611.3,1602.0,1886.79,1876.8
02/12/2024,2021.0,2015.2,1601.04,1596.44,1875.69,1870.91
02/13/2024,2026.2,1996.1,1599.68,1585.7,1880.52,1862.76
02/14/2024,1990.8,1985.1,1587.66,1581.93,1860.8,1852.69
