Date,USD to PKR
"January 1, 20242024-1-1",1 USD =278.981 USD =278.98
"January 2, 20242024-1-2",1 USD =281.951 USD =281.95
"January 3, 20242024-1-3",1 USD =281.831 USD =281.83
"January 4, 20242024-1-4",1 USD =281.711 USD =281.71
"January 5, 20242024-1-5",1 USD =281.501 USD =281.50
"January 8, 20242024-1-8",1 USD =281.201 USD =281.20
"January 9, 20242024-1-9",1 USD =281.221 USD =281.22
"January 10, 20242024-1-10",1 USD =281.261 USD =281.26
"January 11, 20242024-1-11",1 USD =281.141 USD =281.14
"January 12, 20242024-1-12",1 USD =280.521 USD =280.52
"January 15, 20242024-1-15",1 USD =279.971 USD =279.97
"January 16, 20242024-1-16",1 USD =280.641 USD =280.64
"January 17, 20242024-1-17",1 USD =279.941 USD =279.94
"January 18, 20242024-1-18",1 USD =277.691 USD =277.69
"January 19, 20242024-1-19",1 USD =280.101 USD =280.10
"January 22, 20242024-1-22",1 USD =279.691 USD =279.69
"January 23, 20242024-1-23",1 USD =279.691 USD =279.69
"January 24, 20242024-1-24",1 USD =279.951 USD =279.95
"January 25, 20242024-1-25",1 USD =280.081 USD =280.08
"January 26, 20242024-1-26",1 USD =279.751 USD =279.75
"January 29, 20242024-1-29",1 USD =277.401 USD =277.40
"January 30, 20242024-1-30",1 USD =279.481 USD =279.48
"January 31, 20242024-1-31",1 USD =279.301 USD =279.30
"February 1, 20242024-2-1",1 USD =279.601 USD =279.60
"February 2, 20242024-2-2",1 USD =279.651 USD =279.65
"February 5, 20242024-2-5",1 USD =277.791 USD =277.79
"February 6, 20242024-2-6",1 USD =279.591 USD =279.59
"February 7, 20242024-2-7",1 USD =279.301 USD =279.30
"February 8, 20242024-2-8",1 USD =279.451 USD =279.45
"February 9, 20242024-2-9",1 USD =279.401 USD =279.40
"February 12, 20242024-2-12",1 USD =279.481 USD =279.48
"February 13, 20242024-2-13",1 USD =279.311 USD =279.31
"February 14, 20242024-2-14",1 USD =279.351 USD =279.35
"February 15, 20242024-2-15",1 USD =279.371 USD =279.37
"February 16, 20242024-2-16",1 USD =279.501 USD =279.50
"February 19, 20242024-2-19",1 USD =276.801 USD =276.80
"February 20, 20242024-2-20",1 USD =279.691 USD =279.69
"February 21, 20242024-2-21",1 USD =279.491 USD =279.49
"February 22, 20242024-2-22",1 USD =279.581 USD =279.58
"February 23, 20242024-2-23",1 USD =279.731 USD =279.73
"February 26, 20242024-2-26",1 USD =279.191 USD =279.19
"February 27, 20242024-2-27",1 USD =279.501 USD =279.50
"February 28, 20242024-2-28",1 USD =278.551 USD =278.55
"February 29, 20242024-2-29",1 USD =277.761 USD =277.76
"March 1, 20242024-3-1",1 USD =279.501 USD =279.50
"March 4, 20242024-3-4",1 USD =279.451 USD =279.45
"March 5, 20242024-3-5",1 USD =279.391 USD =279.39
"March 6, 20242024-3-6",1 USD =279.401 USD =279.40
"March 7, 20242024-3-7",1 USD =278.321 USD =278.32
"March 8, 20242024-3-8",1 USD =279.151 USD =279.15
"March 11, 20242024-3-11",1 USD =279.191 USD =279.19
"March 12, 20242024-3-12",1 USD =279.111 USD =279.11
"March 13, 20242024-3-13",1 USD =278.951 USD =278.95
"March 14, 20242024-3-14",1 USD =278.951 USD =278.95
"March 15, 20242024-3-15",1 USD =278.881 USD =278.88
"March 18, 20242024-3-18",1 USD =278.701 USD =278.70
"March 19, 20242024-3-19",1 USD =278.671 USD =278.67
"March 20, 20242024-3-20",1 USD =278.441 USD =278.44
"March 21, 20242024-3-21",1 USD =278.321 USD =278.32
"March 22, 20242024-3-22",1 USD =278.251 USD =278.25
"March 25, 20242024-3-25",1 USD =278.181 USD =278.18
"March 26, 20242024-3-26",1 USD =277.981 USD =277.98
"March 27, 20242024-3-27",1 USD =278.061 USD =278.06
"March 28, 20242024-3-28",1 USD =277.941 USD =277.94
"March 29, 20242024-3-29",1 USD =277.901 USD =277.90
"April 1, 20242024-4-1",1 USD =277.861 USD =277.86
"April 2, 20242024-4-2",1 USD =277.831 USD =277.83
"April 3, 20242024-4-3",1 USD =277.821 USD =277.82
"April 4, 20242024-4-4",1 USD =277.881 USD =277.88
"April 5, 20242024-4-5",1 USD =277.541 USD =277.54
"April 8, 20242024-4-8",1 USD =277.721 USD =277.72
"April 9, 20242024-4-9",1 USD =277.951 USD =277.95
"April 10, 20242024-4-10",1 USD =278.121 USD =278.12
"April 11, 20242024-4-11",1 USD =277.991 USD =277.99
"April 12, 20242024-4-12",1 USD =277.951 USD =277.95
"April 15, 20242024-4-15",1 USD =278.021 USD =278.02
"April 16, 20242024-4-16",1 USD =278.451 USD =278.45
"April 17, 20242024-4-17",1 USD =278.211 USD =278.21
"April 18, 20242024-4-18",1 USD =278.491 USD =278.49
"April 19, 20242024-4-19",1 USD =278.651 USD =278.65
"April 22, 20242024-4-22",1 USD =278.541 USD =278.54
"April 23, 20242024-4-23",1 USD =278.461 USD =278.46
"April 24, 20242024-4-24",1 USD =278.501 USD =278.50
"April 25, 20242024-4-25",1 USD =278.601 USD =278.60
"April 26, 20242024-4-26",1 USD =278.251 USD =278.25
"April 29, 20242024-4-29",1 USD =278.401 USD =278.40
"April 30, 20242024-4-30",1 USD =278.451 USD =278.45
"May 1, 20242024-5-1",1 USD =278.501 USD =278.50
"May 2, 20242024-5-2",1 USD =278.511 USD =278.51
"May 3, 20242024-5-3",1 USD =278.501 USD =278.50
"May 6, 20242024-5-6",1 USD =278.351 USD =278.35
"May 7, 20242024-5-7",1 USD =278.151 USD =278.15
"May 8, 20242024-5-8",1 USD =278.191 USD =278.19
"May 9, 20242024-5-9",1 USD =278.521 USD =278.52
"May 10, 20242024-5-10",1 USD =278.041 USD =278.04
"May 13, 20242024-5-13",1 USD =278.171 USD =278.17
"May 14, 20242024-5-14",1 USD =278.141 USD =278.14
"May 15, 20242024-5-15",1 USD =278.211 USD =278.21
"May 16, 20242024-5-16",1 USD =278.591 USD =278.59
"May 17, 20242024-5-17",1 USD =278.501 USD =278.50
"May 20, 20242024-5-20",1 USD =278.471 USD =278.47
"May 21, 20242024-5-21",1 USD =278.501 USD =278.50
"May 22, 20242024-5-22",1 USD =278.521 USD =278.52
"May 23, 20242024-5-23",1 USD =278.391 USD =278.39
"May 24, 20242024-5-24",1 USD =277.981 USD =277.98
"May 27, 20242024-5-27",1 USD =278.311 USD =278.31
"May 28, 20242024-5-28",1 USD =278.821 USD =278.82
"May 29, 20242024-5-29",1 USD =278.611 USD =278.61
"May 30, 20242024-5-30",1 USD =278.441 USD =278.44
"May 31, 20242024-5-31",1 USD =278.431 USD =278.43
"June 3, 20242024-6-3",1 USD =278.651 USD =278.65
"June 4, 20242024-6-4",1 USD =278.301 USD =278.30
"June 5, 20242024-6-5",1 USD =278.461 USD =278.46
"June 6, 20242024-6-6",1 USD =278.451 USD =278.45
"June 7, 20242024-6-7",1 USD =278.451 USD =278.45
"June 10, 20242024-6-10",1 USD =278.001 USD =278.00
"June 11, 20242024-6-11",1 USD =278.741 USD =278.74
"June 12, 20242024-6-12",1 USD =278.591 USD =278.59
"June 13, 20242024-6-13",1 USD =278.631 USD =278.63
"June 14, 20242024-6-14",1 USD =278.501 USD =278.50
"June 17, 20242024-6-17",1 USD =278.491 USD =278.49
"June 18, 20242024-6-18",1 USD =278.551 USD =278.55
"June 19, 20242024-6-19",1 USD =278.621 USD =278.62
"June 20, 20242024-6-20",1 USD =278.531 USD =278.53
"June 21, 20242024-6-21",1 USD =278.581 USD =278.58
"June 24, 20242024-6-24",1 USD =278.601 USD =278.60
"June 25, 20242024-6-25",1 USD =278.601 USD =278.60
"June 26, 20242024-6-26",1 USD =278.501 USD =278.50
"June 27, 20242024-6-27",1 USD =278.501 USD =278.50
"June 28, 20242024-6-28",1 USD =278.531 USD =278.53
"July 1, 20242024-7-1",1 USD =278.451 USD =278.45
"July 2, 20242024-7-2",1 USD =278.381 USD =278.38
"July 3, 20242024-7-3",1 USD =278.401 USD =278.40
"July 4, 20242024-7-4",1 USD =278.571 USD =278.57
"July 5, 20242024-7-5",1 USD =277.971 USD =277.97
"July 8, 20242024-7-8",1 USD =278.591 USD =278.59
"July 9, 20242024-7-9",1 USD =278.511 USD =278.51
"July 10, 20242024-7-10",1 USD =278.461 USD =278.46
"July 11, 20242024-7-11",1 USD =278.511 USD =278.51
"July 12, 20242024-7-12",1 USD =277.961 USD =277.96
"July 15, 20242024-7-15",1 USD =278.041 USD =278.04
"July 16, 20242024-7-16",1 USD =278.591 USD =278.59
"July 17, 20242024-7-17",1 USD =278.461 USD =278.46
"July 18, 20242024-7-18",1 USD =278.251 USD =278.25
"July 19, 20242024-7-19",1 USD =278.401 USD =278.40
"July 22, 20242024-7-22",1 USD =278.311 USD =278.31
"July 23, 20242024-7-23",1 USD =278.271 USD =278.27
"July 24, 20242024-7-24",1 USD =278.541 USD =278.54
"July 25, 20242024-7-25",1 USD =278.461 USD =278.46
"July 26, 20242024-7-26",1 USD =278.211 USD =278.21
"July 29, 20242024-7-29",1 USD =278.581 USD =278.58
"July 30, 20242024-7-30",1 USD =278.851 USD =278.85
"July 31, 20242024-7-31",1 USD =278.791 USD =278.79
"August 1, 20242024-8-1",1 USD =278.611 USD =278.61
"August 2, 20242024-8-2",1 USD =279.001 USD =279.00
"August 5, 20242024-8-5",1 USD =278.701 USD =278.70
"August 6, 20242024-8-6",1 USD =278.951 USD =278.95
"August 7, 20242024-8-7",1 USD =278.711 USD =278.71
"August 8, 20242024-8-8",1 USD =278.641 USD =278.64
"August 9, 20242024-8-9",1 USD =278.751 USD =278.75
"August 12, 20242024-8-12",1 USD =278.701 USD =278.70
"August 13, 20242024-8-13",1 USD =278.651 USD =278.65
"August 14, 20242024-8-14",1 USD =278.631 USD =278.63
"August 15, 20242024-8-15",1 USD =278.611 USD =278.61
"August 16, 20242024-8-16",1 USD =277.451 USD =277.45
"August 19, 20242024-8-19",1 USD =278.451 USD =278.45
"August 20, 20242024-8-20",1 USD =277.991 USD =277.99
"August 21, 20242024-8-21",1 USD =278.631 USD =278.63
"August 22, 20242024-8-22",1 USD =278.731 USD =278.73
"August 23, 20242024-8-23",1 USD =278.631 USD =278.63
"August 26, 20242024-8-26",1 USD =278.461 USD =278.46
"August 27, 20242024-8-27",1 USD =278.381 USD =278.38
"August 28, 20242024-8-28",1 USD =278.521 USD =278.52
"August 29, 20242024-8-29",1 USD =279.051 USD =279.05
"August 30, 20242024-8-30",1 USD =278.491 USD =278.49
"September 2, 20242024-9-2",1 USD =278.611 USD =278.61
"September 3, 20242024-9-3",1 USD =278.651 USD =278.65
"September 4, 20242024-9-4",1 USD =278.191 USD =278.19
"September 5, 20242024-9-5",1 USD =278.571 USD =278.57
"September 6, 20242024-9-6",1 USD =278.581 USD =278.58
"September 9, 20242024-9-9",1 USD =278.791 USD =278.79
"September 10, 20242024-9-10",1 USD =278.771 USD =278.77
"September 11, 20242024-9-11",1 USD =278.581 USD =278.58
"September 12, 20242024-9-12",1 USD =278.521 USD =278.52
"September 13, 20242024-9-13",1 USD =278.631 USD =278.63
"September 16, 20242024-9-16",1 USD =278.241 USD =278.24
"September 17, 20242024-9-17",1 USD =278.761 USD =278.76
"September 18, 20242024-9-18",1 USD =278.171 USD =278.17
"September 19, 20242024-9-19",1 USD =278.361 USD =278.36
"September 20, 20242024-9-20",1 USD =277.941 USD =277.94
"September 23, 20242024-9-23",1 USD =277.931 USD =277.93
"September 24, 20242024-9-24",1 USD =277.871 USD =277.87
"September 25, 20242024-9-25",1 USD =277.861 USD =277.86
"September 26, 20242024-9-26",1 USD =277.731 USD =277.73
"September 27, 20242024-9-27",1 USD =277.701 USD =277.70
"September 30, 20242024-9-30",1 USD =277.751 USD =277.75
"October 1, 20242024-10-1",1 USD =277.521 USD =277.52
"October 2, 20242024-10-2",1 USD =277.571 USD =277.57
"October 3, 20242024-10-3",1 USD =277.881 USD =277.88
"October 4, 20242024-10-4",1 USD =277.551 USD =277.55
"October 7, 20242024-10-7",1 USD =277.531 USD =277.53
"October 8, 20242024-10-8",1 USD =277.701 USD =277.70
"October 9, 20242024-10-9",1 USD =277.721 USD =277.72
"October 10, 20242024-10-10",1 USD =277.771 USD =277.77
"October 11, 20242024-10-11",1 USD =277.751 USD =277.75
"October 14, 20242024-10-14",1 USD =277.811 USD =277.81
"October 15, 20242024-10-15",1 USD =277.801 USD =277.80
"October 16, 20242024-10-16",1 USD =277.711 USD =277.71
"October 17, 20242024-10-17",1 USD =277.731 USD =277.73
"October 18, 20242024-10-18",1 USD =277.651 USD =277.65
"October 21, 20242024-10-21",1 USD =277.681 USD =277.68
"October 22, 20242024-10-22",1 USD =277.731 USD =277.73
"October 23, 20242024-10-23",1 USD =277.711 USD =277.71
"October 24, 20242024-10-24",1 USD =277.801 USD =277.80
"October 25, 20242024-10-25",1 USD =278.191 USD =278.19
"October 28, 20242024-10-28",1 USD =278.241 USD =278.24
"October 29, 20242024-10-29",1 USD =277.761 USD =277.76
"October 30, 20242024-10-30",1 USD =277.971 USD =277.97
"October 31, 20242024-10-31",1 USD =277.781 USD =277.78
"November 1, 20242024-11-1",1 USD =277.741 USD =277.74
"November 4, 20242024-11-4",1 USD =277.911 USD =277.91
"November 5, 20242024-11-5",1 USD =277.921 USD =277.92
"November 6, 20242024-11-6",1 USD =277.871 USD =277.87
"November 7, 20242024-11-7",1 USD =277.911 USD =277.91
"November 8, 20242024-11-8",1 USD =278.051 USD =278.05
"November 11, 20242024-11-11",1 USD =277.901 USD =277.90
"November 12, 20242024-11-12",1 USD =278.051 USD =278.05
"November 13, 20242024-11-13",1 USD =278.051 USD =278.05
"November 14, 20242024-11-14",1 USD =278.101 USD =278.10
"November 15, 20242024-11-15",1 USD =277.701 USD =277.70
"November 18, 20242024-11-18",1 USD =277.801 USD =277.80
"November 19, 20242024-11-19",1 USD =278.001 USD =278.00
"November 20, 20242024-11-20",1 USD =278.031 USD =278.03
"November 21, 20242024-11-21",1 USD =277.931 USD =277.93
"November 22, 20242024-11-22",1 USD =277.801 USD =277.80
"November 25, 20242024-11-25",1 USD =277.951 USD =277.95
"November 26, 20242024-11-26",1 USD =277.321 USD =277.32
"November 27, 20242024-11-27",1 USD =278.001 USD =278.00
"November 28, 20242024-11-28",1 USD =277.951 USD =277.95
"November 29, 20242024-11-29",1 USD =278.101 USD =278.10
"December 2, 20242024-12-2",1 USD =277.811 USD =277.81
"December 3, 20242024-12-3",1 USD =277.971 USD =277.97
"December 4, 20242024-12-4",1 USD =277.941 USD =277.94
"December 5, 20242024-12-5",1 USD =277.971 USD =277.97
"December 6, 20242024-12-6",1 USD =278.121 USD =278.12
"December 9, 20242024-12-9",1 USD =278.121 USD =278.12
"December 10, 20242024-12-10",1 USD =278.211 USD =278.21
"December 11, 20242024-12-11",1 USD =277.841 USD =277.84
"December 12, 20242024-12-12",1 USD =278.311 USD =278.31
"December 13, 20242024-12-13",1 USD =277.921 USD =277.92
"December 16, 20242024-12-16",1 USD =277.931 USD =277.93
