Date,USD to PKR
2024-01-01,1 USD =278.981 USD =278.98
2024-01-02,1 USD =281.951 USD =281.95
2024-01-03,1 USD =281.831 USD =281.83
2024-01-04,1 USD =281.711 USD =281.71
2024-01-05,1 USD =281.501 USD =281.50
2024-01-08,1 USD =281.201 USD =281.20
2024-01-09,1 USD =281.221 USD =281.22
2024-01-10,1 USD =281.261 USD =281.26
2024-01-11,1 USD =281.141 USD =281.14
2024-01-12,1 USD =280.521 USD =280.52
2024-01-15,1 USD =279.971 USD =279.97
2024-01-16,1 USD =280.641 USD =280.64
2024-01-17,1 USD =279.941 USD =279.94
2024-01-18,1 USD =277.691 USD =277.69
2024-01-19,1 USD =280.101 USD =280.10
2024-01-22,1 USD =279.691 USD =279.69
2024-01-23,1 USD =279.691 USD =279.69
2024-01-24,1 USD =279.951 USD =279.95
2024-01-25,1 USD =280.081 USD =280.08
2024-01-26,1 USD =279.751 USD =279.75
2024-01-29,1 USD =277.401 USD =277.40
2024-01-30,1 USD =279.481 USD =279.48
2024-01-31,1 USD =279.301 USD =279.30
2024-02-01,1 USD =279.601 USD =279.60
2024-02-02,1 USD =279.651 USD =279.65
2024-02-05,1 USD =277.791 USD =277.79
2024-02-06,1 USD =279.591 USD =279.59
2024-02-07,1 USD =279.301 USD =279.30
2024-02-08,1 USD =279.451 USD =279.45
2024-02-09,1 USD =279.401 USD =279.40
2024-02-12,1 USD =279.481 USD =279.48
2024-02-13,1 USD =279.311 USD =279.31
2024-02-14,1 USD =279.351 USD =279.35
2024-02-15,1 USD =279.371 USD =279.37
2024-02-16,1 USD =279.501 USD =279.50
2024-02-19,1 USD =276.801 USD =276.80
2024-02-20,1 USD =279.691 USD =279.69
2024-02-21,1 USD =279.491 USD =279.49
2024-02-22,1 USD =279.581 USD =279.58
2024-02-23,1 USD =279.731 USD =279.73
2024-02-26,1 USD =279.191 USD =279.19
2024-02-27,1 USD =279.501 USD =279.50
2024-02-28,1 USD =278.551 USD =278.55
2024-02-29,1 USD =277.761 USD =277.76
2024-03-01,1 USD =279.501 USD =279.50
2024-03-04,1 USD =279.451 USD =279.45
2024-03-05,1 USD =279.391 USD =279.39
2024-03-06,1 USD =279.401 USD =279.40
2024-03-07,1 USD =278.321 USD =278.32
2024-03-08,1 USD =279.151 USD =279.15
2024-03-11,1 USD =279.191 USD =279.19
2024-03-12,1 USD =279.111 USD =279.11
2024-03-13,1 USD =278.951 USD =278.95
2024-03-14,1 USD =278.951 USD =278.95
2024-03-15,1 USD =278.881 USD =278.88
2024-03-18,1 USD =278.701 USD =278.70
2024-03-19,1 USD =278.671 USD =278.67
2024-03-20,1 USD =278.441 USD =278.44
2024-03-21,1 USD =278.321 USD =278.32
2024-03-22,1 USD =278.251 USD =278.25
2024-03-25,1 USD =278.181 USD =278.18
2024-03-26,1 USD =277.981 USD =277.98
2024-03-27,1 USD =278.061 USD =278.06
2024-03-28,1 USD =277.941 USD =277.94
2024-03-29,1 USD =277.901 USD =277.90
2024-04-01,1 USD =277.861 USD =277.86
2024-04-02,1 USD =277.831 USD =277.83
2024-04-03,1 USD =277.821 USD =277.82
2024-04-04,1 USD =277.881 USD =277.88
2024-04-05,1 USD =277.541 USD =277.54
2024-04-08,1 USD =277.721 USD =277.72
2024-04-09,1 USD =277.951 USD =277.95
2024-04-10,1 USD =278.121 USD =278.12
2024-04-11,1 USD =277.991 USD =277.99
2024-04-12,1 USD =277.951 USD =277.95
2024-04-15,1 USD =278.021 USD =278.02
2024-04-16,1 USD =278.451 USD =278.45
2024-04-17,1 USD =278.211 USD =278.21
2024-04-18,1 USD =278.491 USD =278.49
2024-04-19,1 USD =278.651 USD =278.65
2024-04-22,1 USD =278.541 USD =278.54
2024-04-23,1 USD =278.461 USD =278.46
2024-04-24,1 USD =278.501 USD =278.50
